xMonth,Miami,New Orleans,Ramey,Blaine,Buffalo,Detroit,Grand Forks,Havre,Houlton,Spokane,Swanton,Big Bend,Del Rio,El Centro,El Paso,Laredo,Rio Grande Valley,San Diego,Tucson,Yuma,Coastal Border,Northern Border,Southwest Border,Monthly Total,fiscalYear,xMonthN,xDate
June,232,56,72,17,15,67,34,2,1,20,34,292,1918,1719,2369,2906,15972,2522,5427,1325,360,190,34450,35000,2016,09,2016-09-01
July,286,96,66,28,37,64,66,2,2,19,35,344,1833,1669,2503,2647,16519,2555,4364,1289,448,253,33723,34424,2016,10,2016-10-01
August,274,72,43,30,27,89,62,7,1,20,30,326,1445,2047,2708,2888,19155,2748,4303,1428,389,266,37048,37703,2016,11,2016-11-01
September,304,83,73,22,18,66,46,2,0,23,47,650,1881,2032,2955,3129,19753,3183,4527,1391,460,224,39501,40185,2016,12,2016-12-01
October,178,76,77,45,9,64,19,1,5,16,10,697,2106,2441,3973,3350,22642,2934,5924,2117,331,169,46184,46684,2017,01,2017-01-01
November,186,98,41,36,19,30,25,3,0,10,22,603,1880,1850,4105,3194,24686,2947,5912,2034,325,145,47211,47681,2017,02,2017-02-01
December,329,81,62,28,12,34,23,2,0,7,25,477,1817,1870,3948,2460,23418,3099,4303,1859,472,131,43251,43854,2017,03,2017-03-01
January,161,121,99,20,24,43,40,0,1,5,19,473,1243,1796,2779,2265,15580,2927,3357,1156,381,152,31576,32109,2017,04,2017-04-01
February,194,94,15,23,66,71,48,4,0,18,43,383,1104,1196,1575,1710,7855,1808,2589,534,303,273,18754,19330,2017,05,2017-05-01
March,150,88,15,21,16,143,56,0,1,22,43,357,746,871,978,1256,4147,1356,2148,336,253,302,12195,12750,2017,06,2017-06-01
April,193,50,39,16,33,119,57,4,0,14,25,413,589,849,906,1304,3942,1392,1487,245,282,268,11127,11677,2017,07,2017-07-01
May,221,105,17,12,76,112,44,6,5,14,41,552,740,1134,1032,1722,4882,1724,2199,534,343,310,14519,15172,2017,08,2017-08-01
June,173,57,0,23,48,118,42,4,1,50,51,378,761,1280,1180,1839,5817,1652,2632,548,230,337,16087,16654,2017,09,2017-09-01
July,195,52,8,27,55,113,51,7,5,19,63,492,760,1478,1395,2120,7107,1764,2177,894,255,340,18187,18782,2017,10,2017-10-01
August,196,74,15,27,37,132,58,7,8,17,73,563,798,1880,1782,2143,8650,2241,2913,1318,285,359,22288,22932,2017,11,2017-11-01
September,104,24,0,10,52,91,33,1,4,16,34,614,932,1988,1540,2097,8836,2242,3016,1272,128,241,22537,22906,2017,12,2017-12-01
October,196,46,7,19,48,119,48,10,0,30,28,819,1046,2194,1489,2451,9722,2377,3854,1536,249,302,25488,26039,2018,01,2018-01-01
November,168,62,17,22,23,150,40,13,2,16,29,828,1186,2123,1647,2283,11726,2760,4562,1970,247,295,29085,29627,2018,02,2018-02-01
December,164,27,14,22,17,86,38,2,5,17,32,802,1113,2110,1713,1982,11668,2764,4400,2443,205,219,28995,29419,2018,03,2018-03-01
January,189,86,77,15,25,193,21,0,3,22,30,543,1083,2052,1607,2296,9484,3171,3925,1814,352,309,25975,26636,2018,04,2018-04-01
February,189,63,18,10,16,159,30,2,3,19,47,838,1306,1954,1737,2671,9611,3107,3824,1618,270,286,26666,27222,2018,05,2018-05-01
March,202,54,21,54,29,175,41,1,6,36,66,703,1466,2697,2782,3652,14140,4101,5785,2064,277,408,37390,38075,2018,06,2018-06-01
April,205,63,9,40,32,166,31,1,9,27,36,808,1451,2790,2671,3370,15993,3644,5012,2504,277,342,38243,38862,2018,07,2018-07-01
May,172,35,36,35,46,158,41,0,3,32,66,743,1486,2683,3510,3210,17491,3418,4760,3038,243,381,40339,40963,2018,08,2018-08-01
June,130,115,5,27,55,280,38,6,4,29,105,375,1462,2327,3560,2586,14703,3014,4146,1916,250,544,34089,34883,2018,09,2018-09-01
July,244,43,20,22,33,168,41,4,6,39,92,456,1365,2531,2890,2600,13238,3098,3241,1880,307,405,31299,32011,2018,10,2018-10-01
August,173,102,53,43,28,127,55,6,3,52,67,585,1506,2821,3585,2785,16744,3507,3627,2364,328,381,37524,38233,2018,11,2018-11-01
September,137,102,3,50,32,149,37,2,8,28,138,545,1363,2948,4370,2755,17742,3630,5036,3097,242,444,41486,42172,2018,12,2018-12-01
October,201,74,21,53,40,188,24,7,2,38,148,555,2002,3242,7334,3448,20755,4227,5828,3614,296,500,51005,51801,2019,01,2019-01-01
November,136,82,26,35,29,107,28,7,3,41,68,448,2088,3189,8867,2669,20713,4577,5062,4244,244,318,51857,52419,2019,02,2019-02-01
December,149,60,36,48,19,119,29,5,2,23,79,621,2024,2718,9450,2059,18372,5816,4912,4779,245,324,50751,51320,2019,03,2019-03-01
January,172,100,32,41,26,107,20,8,0,57,40,588,2524,2461,9137,2632,17713,4122,4096,4706,304,299,47979,48582,2019,04,2019-04-01
February,111,101,20,41,27,115,24,0,0,42,58,845,4013,3319,14171,3123,25366,5448,4911,5687,232,307,66883,67422,2019,05,2019-05-01
March,184,94,61,54,43,118,36,5,4,52,109,942,5563,3561,22224,4192,33763,6881,7257,8450,339,421,92833,93593,2019,06,2019-06-01
April,191,132,15,35,33,102,48,7,1,37,73,941,5848,3386,27073,3975,36727,6197,5921,9205,338,336,99273,99947,2019,07,2019-07-01
May,163,105,64,27,18,114,41,3,0,46,104,1557,8563,3482,38637,4115,49821,5882,6875,13924,332,353,132856,133541,2019,08,2019-08-01
June,140,100,78,53,55,95,43,8,4,11,87,628,8085,2885,18882,3819,43207,4684,5517,7195,318,356,94902,95576,2019,09,2019-09-01
July,165,87,27,49,93,79,31,14,19,19,91,799,6686,2214,11594,2686,36854,3458,4129,3558,279,395,71978,72652,2019,10,2019-10-01
August,179,105,106,38,123,80,41,5,8,30,80,922,5297,2327,8078,2421,22355,3321,4080,1883,390,405,50684,51479,2019,11,2019-11-01
September,100,92,76,50,31,98,47,8,9,32,119,791,4576,2354,6696,3239,13489,3436,4902,1024,268,394,40507,41169,2019,12,2019-12-01
